"id","title","original_title","overview","language_name","release_date","release_year","decade","popularity","vote_average","vote_count","runtime","runtime_category","primary_genre","genre_string","keywords_str","poster_url","is_hidden_gem"
"848116","Rocky Aur Rani Kii Prem Kahaani","रॉकी और रानी की प्रेम कहानी","Gym-freak brat Rocky falls in love with Rani, who comes from a well-educated Bengali family. Being from polar opposite worlds, the two decide to switch their families to adjust to each other's cultures and backgrounds and to know if their marriage will survive. Rocky and Rani are trapped in a world where they are united by love but divided by families and the ultimate question is will they fit in?","Hindi","2023-07-28","2023","2020","69.1349","6.1","81","178","Very Long","Comedy","Comedy, Drama, Family, Romance","musical, nostalgia, love interest, nostalgic, wealthy family","https://image.tmdb.org/t/p/w500/vTQIqlxUkOuyf2UKhlM2OUaFGKz.jpg","False"
"1582770","Dhurandhar: The Revenge","धुरंधर: द रिवेंज","As rival gangs, corrupt officials and a ruthless Major Iqbal close in, Hamza's mission for his country spirals into a bloody personal war where the line between patriot and monster disappears in the streets of Lyari.","Hindi","2026-03-18","2026","2020","24.4322","7.6","63","229","Very Long","Action","Action, Crime, Thriller","undercover, espionage, politics, spy, traitor, patriotism, nationalism, gore, gang leader, pakistan, sequel, betrayal, conspiracy, torture, soldier, india, interrogation, terrorist attack, undercover operation, gun violence, bloodshed, political corruption, serious, weapons, intense, cruel, excited","https://image.tmdb.org/t/p/w500/ov8vrRLZGoXHpYjSY9Vpv1tHJX7.jpg","False"
"1291608","Dhurandhar","धुरंधर","A mysterious traveler slips into the heart of Karachi's underbelly and rises through its ranks with lethal precision, only to tear the notorious ISI-Underworld nexus apart from within.","Hindi","2025-12-05","2025","2020","16.8455","7.1","259","212","Very Long","Action","Action, Crime, Thriller","espionage, political party, politics, asia, patriotism, nationalism, controversy, gore, pakistan, torture, terrorism, india, terrorist attack, gun violence, bloodshed, political corruption, 1990s, spy thriller, punjabi, indian, 2000s, serious, international espionage, thriller, hindi film, action, chase scene, cruel, excited, indian film","https://image.tmdb.org/t/p/w500/snBOuXDdhmTvlzMUvP9Em3Pp1u1.jpg","False"
"19404","Dilwale Dulhania Le Jayenge","दिलवाले दुल्हनिया ले जायेंगे","Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.","Hindi","1995-10-20","1995","1990","14.2059","8.514","4574","190","Very Long","Comedy","Comedy, Drama, Romance","family's daily life, family history, love-hate relationship, family drama, love affair, curious, casual","https://image.tmdb.org/t/p/w500/2CAL2433ZeIihfX1Hb2139CX0pW.jpg","True"
"297222","PK","पीके","A stranger in the city asks questions no one has asked before. Known only by his initials, the man's innocent questions and childlike curiosity take him on a journey of love, laughter and letting go.","Hindi","2014-12-18","2014","2010","7.8408","7.691","1144","153","Very Long","Comedy","Comedy, Drama, Science Fiction","friendship, society, christianity, hinduism, islam, satire, alien, love, religion, sociology, belief in god, islamophobia, pakistan vs india, sikhism, jainism, religious satire","https://image.tmdb.org/t/p/w500/z2x2Y4tncefsIU7h82gmUM5vnBJ.jpg","True"
"20453","3 Idiots","3 Idiots","Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.","Hindi","2009-12-23","2009","2000","7.1356","7.996","2681","171","Very Long","Drama","Drama, Comedy","challenge, middle class, slapstick comedy, coming of age, flashback, teacher, friends, engineering, university, subjective camera, smart kid, poor kid, looking for friend, plot twist, inspirational, student, life advice, amused, delhi","https://image.tmdb.org/t/p/w500/66A9MqXOyVFCssoloscw79z8Tew.jpg","True"
"7508","Like Stars on Earth","तारे ज़मीन पर","Ishaan Awasthi is an eight-year-old whose world is filled with wonders that no one else seems to appreciate. Colours, fish, dogs, and kites don't seem important to the adults, who are much more interested in things like homework, marks, and neatness. Ishaan cannot seem to get anything right in class; he is then sent to boarding school, where his life changes forever.","Hindi","2007-12-21","2007","2000","5.9015","7.956","1318","162","Very Long","Drama","Drama","jealousy, parent child relationship, boarding school, painter, father, dyslexia, teacher, little boy, india, childhood, teachers and students, melodramatic","https://image.tmdb.org/t/p/w500/puHRt6Raovm5ujGCdwLWvRv4NHU.jpg","True"
"1109086","War 2","वॉर 2","Years ago Agent Kabir went rogue, became India’s greatest villain ever.  As he descends further into the deepest shadows... India sends its deadliest, most lethal agent after him, Agent Vikram  A Special Units Officer who is more than Kabir’s equal and a relentless Terminator driven by his own demons, determined to put a bullet into Kabir’s skull.","Hindi","2025-08-13","2025","2020","4.969","5.8","60","173","Very Long","Action","Action, Thriller","","https://image.tmdb.org/t/p/w500/fxxVbjhIOl8ZPS69dH8xeeuxvmh.jpg","False"
"1389149","Accused","अक्यूज़्ड","When a celebrated queer doctor in London is accused of sexual misconduct, her life unravels. Now under a storm of suspicion and scrutiny, her marriage fractures and the truth blurs. Her wife must decide whether to walk away, or fight for the woman the world is turning against.","Hindi","2026-02-27","2026","2020","5.6369","5.172","64","107","Medium","Thriller","Thriller, Mystery, Drama","","https://image.tmdb.org/t/p/w500/e0YNWPVJBs9wUkcB6a1kCMF4LO7.jpg","False"
"872906","Jawan","जवान","An emotional journey of a prison warden, driven by a personal vendetta while keeping up to a promise made years ago, recruits inmates to commit outrageous crimes that shed light on corruption and injustice, in an attempt to get even with his past,  and that leads him to an unexpected reunion.","Hindi","2023-09-07","2023","2020","4.2151","7.078","320","169","Very Long","Action","Action, Thriller","revenge, vigilantism, political, admiring","https://image.tmdb.org/t/p/w500/jFt1gS4BGHlK8xt76Y81Alp4dbt.jpg","False"
